Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
24.6,1,L Ferguson,M Mithun,140.5 km/h,short length,on leg stump.
24.5,1,L Ferguson,S Al Hasan,142.5 km/h,good length,just outside off stump.
24.4,4,L Ferguson,S Al Hasan,142.7 km/h,short length,on leg stump.
24.3,0,L Ferguson,S Al Hasan,142.7 km/h,short length,just outside off stump.
24.2,1,L Ferguson,M Mithun,140.1 km/h,good length,just outside off stump.
24.1,1,L Ferguson,S Al Hasan,139.0 km/h,short length,on middle stump.
23.6,0,M Santner,M Mithun,86.6 km/h,good length,on off stump.
23.5,W,M Santner,M Rahim,84.7 km/h,good length,on off stump.
23.4,1,M Santner,S Al Hasan,96.0 km/h,good length,just outside off stump.
23.3,0,M Santner,S Al Hasan,90.6 km/h,good length,just outside off stump.
23.2,1,M Santner,M Rahim,86.1 km/h,short length,going down leg.
23.1,0,M Santner,M Rahim,85.9 km/h,good length,just outside off stump.
22.6,2,J Neesham,S Al Hasan,131.2 km/h,short length,just outside off stump.
22.5,1,J Neesham,M Rahim,134.8 km/h,short length,on middle stump.
22.4,1,J Neesham,S Al Hasan,133.0 km/h,good length,outside off stump.
22.4,1Wd,J Neesham,S Al Hasan,,,
22.3,4,J Neesham,S Al Hasan,136.6 km/h,good length,outside off stump.
22.2,4,J Neesham,S Al Hasan,128.4 km/h,full length,outside off stump.
22.1,4,J Neesham,S Al Hasan,132.5 km/h,short length,just outside off stump.
21.6,0,M Santner,M Rahim,79.4 km/h,good length,just outside off stump.
21.5,0,M Santner,M Rahim,86.6 km/h,good length,just outside off stump.
21.4,0,M Santner,M Rahim,87.0 km/h,good length,on middle stump.
21.3,0,M Santner,M Rahim,78.1 km/h,good length,just outside off stump.
21.2,0,M Santner,M Rahim,91.7 km/h,good length,on middle stump.
21.1,0,M Santner,M Rahim,88.7 km/h,good length,on middle stump.
20.6,2,C de Grandhomme,S Al Hasan,122.3 km/h,full length,on middle stump.
20.5,1,C de Grandhomme,M Rahim,123.9 km/h,full length,outside off stump.
20.4,4,C de Grandhomme,M Rahim,122.7 km/h,short length,outside off stump.
20.3,1,C de Grandhomme,S Al Hasan,122.9 km/h,good length,outside off stump.
20.2,1,C de Grandhomme,M Rahim,123.6 km/h,short length,just outside off stump.
20.1,0,C de Grandhomme,M Rahim,121.9 km/h,good length,on off stump.
19.6,4,J Neesham,S Al Hasan,136.3 km/h,short length,on middle stump.
19.5,0,J Neesham,S Al Hasan,131.5 km/h,good length,just outside off stump.
19.4,1,J Neesham,M Rahim,132.6 km/h,good length,just outside off stump.
19.3,1,J Neesham,S Al Hasan,131.8 km/h,short length,just outside off stump.
19.2,1,J Neesham,M Rahim,134.5 km/h,short length,outside off stump.
19.1,0,J Neesham,M Rahim,134.0 km/h,full length,on off stump.
18.6,0,C de Grandhomme,S Al Hasan,121.4 km/h,good length,on leg stump.
18.5,0,C de Grandhomme,S Al Hasan,120.4 km/h,good length,outside off stump.
18.4,0,C de Grandhomme,S Al Hasan,121.6 km/h,good length,on off stump.
18.3,0,C de Grandhomme,S Al Hasan,121.2 km/h,short length,on off stump.
18.2,0,C de Grandhomme,S Al Hasan,121.5 km/h,good length,just outside off stump.
18.1,1,C de Grandhomme,M Rahim,123.1 km/h,short length,on middle stump.
17.6,0,L Ferguson,S Al Hasan,143.9 km/h,full length,on leg stump.
17.5,0,L Ferguson,S Al Hasan,148.4 km/h,short length,just outside off stump.
17.4,0,L Ferguson,S Al Hasan,143.5 km/h,good length,on leg stump.
17.3,0,L Ferguson,S Al Hasan,144.8 km/h,good length,outside off stump.
17.2,1,L Ferguson,M Rahim,143.2 km/h,short length,on leg stump.
17.1,0,L Ferguson,M Rahim,144.1 km/h,short length,outside off stump.
17.1,1Wd,L Ferguson,M Rahim,,,
16.6,1,C de Grandhomme,M Rahim,122.1 km/h,short length,going down leg.
16.5,0,C de Grandhomme,M Rahim,124.4 km/h,short length,on middle stump.
16.4,4,C de Grandhomme,M Rahim,120.7 km/h,short length,on leg stump.
16.3,0,C de Grandhomme,M Rahim,121.9 km/h,good length,on middle stump.
16.2,1,C de Grandhomme,S Al Hasan,121.5 km/h,good length,outside off stump.
16.1,0,C de Grandhomme,S Al Hasan,122.6 km/h,good length,just outside off stump.
15.6,0,L Ferguson,M Rahim,142.0 km/h,full length,on off stump.
15.5,0,L Ferguson,M Rahim,143.9 km/h,short length,going down leg.
15.4,0,L Ferguson,M Rahim,144.7 km/h,short length,just outside off stump.
15.3,1,L Ferguson,S Al Hasan,141.9 km/h,short length,on leg stump.
15.2,0,L Ferguson,S Al Hasan,143.1 km/h,short length,just outside off stump.
15.1,1,L Ferguson,M Rahim,144.7 km/h,good length,on middle stump.
14.6,1,C de Grandhomme,M Rahim,122.5 km/h,good length,just outside off stump.
14.5,0,C de Grandhomme,M Rahim,124.5 km/h,good length,just outside off stump.
14.4,0,C de Grandhomme,M Rahim,125.0 km/h,full length,just outside off stump.
14.3,1,C de Grandhomme,S Al Hasan,123.4 km/h,good length,on off stump.
14.2,0,C de Grandhomme,S Al Hasan,121.6 km/h,full length,just outside off stump.
14.1,0,C de Grandhomme,S Al Hasan,124.1 km/h,short length,outside off stump.
13.6,0,L Ferguson,M Rahim,141.3 km/h,short length,going down leg.
13.5,2Lb,L Ferguson,M Rahim,,,
13.4,0,L Ferguson,M Rahim,148.1 km/h,short length,on off stump.
13.3,0,L Ferguson,M Rahim,143.7 km/h,good length,on leg stump.
13.2,W,L Ferguson,T Iqbal,143.6 km/h,short length,just outside off stump.
13.1,0,L Ferguson,T Iqbal,137.9 km/h,short length,just outside off stump.
13.1,1Wd,L Ferguson,T Iqbal,,,
12.6,1,C de Grandhomme,T Iqbal,123.5 km/h,good length,just outside off stump.
12.5,1,C de Grandhomme,S Al Hasan,122.4 km/h,short length,just outside off stump.
12.4,1,C de Grandhomme,T Iqbal,120.9 km/h,good length,going down leg.
12.3,0,C de Grandhomme,T Iqbal,122.2 km/h,short length,outside off stump.
12.2,0,C de Grandhomme,T Iqbal,120.7 km/h,good length,outside off stump.
12.1,0,C de Grandhomme,T Iqbal,119.8 km/h,full length,outside off stump.
11.6,0,L Ferguson,S Al Hasan,137.6 km/h,short length,on off stump.
11.5,0,L Ferguson,S Al Hasan,144.2 km/h,short length,just outside off stump.
11.4,1,L Ferguson,T Iqbal,144.0 km/h,full length,outside off stump.
11.3,0,L Ferguson,T Iqbal,146.0 km/h,short length,on off stump.
11.2,1,L Ferguson,S Al Hasan,140.5 km/h,short length,on off stump.
11.1,0,L Ferguson,S Al Hasan,140.2 km/h,short length,outside off stump.
10.6,1,M Henry,S Al Hasan,136.7 km/h,short length,just outside off stump.
10.5,1,M Henry,T Iqbal,120.8 km/h,short length,just outside off stump.
10.4,1,M Henry,S Al Hasan,136.2 km/h,good length,outside off stump.
10.3,2,M Henry,S Al Hasan,136.2 km/h,good length,just outside off stump.
10.2,0,M Henry,S Al Hasan,138.2 km/h,full length,outside off stump.
10.1,0,M Henry,S Al Hasan,133.2 km/h,short length,just outside off stump.
9.6,1,T Boult,S Al Hasan,136.4 km/h,good length,just outside off stump.
9.5,0,T Boult,S Al Hasan,136.1 km/h,short length,on off stump.
9.4,0,T Boult,S Al Hasan,135.6 km/h,short length,on middle stump.
9.3,2,T Boult,S Al Hasan,139.2 km/h,good length,going down leg.
9.2,0,T Boult,S Al Hasan,138.5 km/h,good length,just outside off stump.
9.1,0,T Boult,S Al Hasan,138.0 km/h,full length,just outside off stump.
8.6,0,M Henry,T Iqbal,136.4 km/h,good length,outside off stump.
8.5,0,M Henry,T Iqbal,136.3 km/h,good length,just outside off stump.
8.4,1,M Henry,S Al Hasan,137.2 km/h,full length,just outside off stump.
8.3,W,M Henry,Soumya Sarkar,138.6 km/h,full length,on middle stump.
8.2,0,M Henry,Soumya Sarkar,132.4 km/h,short length,just outside off stump.
8.1,1,M Henry,T Iqbal,135.3 km/h,short length,just outside off stump.
7.6,1,T Boult,T Iqbal,136.5 km/h,good length,on off stump.
7.5,4,T Boult,T Iqbal,137.0 km/h,short length,on off stump.
7.4,0,T Boult,T Iqbal,137.5 km/h,good length,just outside off stump.
7.3,1,T Boult,Soumya Sarkar,141.7 km/h,good length,just outside off stump.
7.2,2,T Boult,Soumya Sarkar,138.6 km/h,good length,going down leg.
7.1,0,T Boult,Soumya Sarkar,138.1 km/h,good length,outside off stump.
6.6,1,M Henry,Soumya Sarkar,134.2 km/h,good length,going down leg.
6.5,4,M Henry,Soumya Sarkar,123.4 km/h,short length,outside off stump.
6.4,1,M Henry,T Iqbal,126.2 km/h,good length,just outside off stump.
6.3,1,M Henry,Soumya Sarkar,133.9 km/h,short length,just outside off stump.
6.2,4,M Henry,Soumya Sarkar,135.5 km/h,good length,outside off stump.
6.1,1,M Henry,T Iqbal,136.8 km/h,full length,on middle stump.
5.6,1,T Boult,T Iqbal,133.3 km/h,good length,going down leg.
5.5,0,T Boult,T Iqbal,143.7 km/h,short length,on middle stump.
5.4,0,T Boult,T Iqbal,134.8 km/h,good length,just outside off stump.
5.3,0,T Boult,T Iqbal,137.6 km/h,good length,just outside off stump.
5.2,0,T Boult,T Iqbal,141.9 km/h,short length,on off stump.
5.1,1,T Boult,Soumya Sarkar,139.2 km/h,short length,going down leg.
4.6,1,M Henry,Soumya Sarkar,121.0 km/h,full length,outside off stump.
4.5,0,M Henry,Soumya Sarkar,140.8 km/h,short length,outside off stump.
4.4,0,M Henry,Soumya Sarkar,139.0 km/h,good length,outside off stump.
4.3,4,M Henry,Soumya Sarkar,140.0 km/h,good length,just outside off stump.
4.2,2,M Henry,Soumya Sarkar,137.1 km/h,good length,outside off stump.
4.1,0,M Henry,Soumya Sarkar,139.6 km/h,good length,just outside off stump.
3.6,0,T Boult,T Iqbal,134.3 km/h,short length,on off stump.
3.5,0,T Boult,T Iqbal,139.6 km/h,good length,outside off stump.
3.4,4,T Boult,T Iqbal,137.5 km/h,good length,on middle stump.
3.3,0,T Boult,T Iqbal,138.7 km/h,short length,just outside off stump.
3.2,0,T Boult,T Iqbal,136.3 km/h,good length,just outside off stump.
3.1,2,T Boult,T Iqbal,137.8 km/h,short length,outside off stump.
2.6,0,M Henry,Soumya Sarkar,138.7 km/h,good length,on middle stump.
2.5,0,M Henry,Soumya Sarkar,139.0 km/h,full length,outside off stump.
2.4,0,M Henry,Soumya Sarkar,138.1 km/h,good length,going down leg.
2.3,0,M Henry,Soumya Sarkar,139.0 km/h,good length,just outside off stump.
2.2,0,M Henry,Soumya Sarkar,139.0 km/h,good length,just outside off stump.
2.1,2,M Henry,Soumya Sarkar,138.2 km/h,good length,on middle stump.
1.6,1,T Boult,Soumya Sarkar,136.2 km/h,short length,just outside off stump.
1.5,0,T Boult,Soumya Sarkar,136.5 km/h,good length,on off stump.
1.4,1,T Boult,T Iqbal,132.5 km/h,short length,on middle stump.
1.3,0,T Boult,T Iqbal,134.8 km/h,short length,just outside off stump.
1.2,0,T Boult,T Iqbal,134.5 km/h,short length,outside off stump.
1.1,1,T Boult,Soumya Sarkar,133.0 km/h,short length,outside off stump.
0.6,0,M Henry,T Iqbal,136.0 km/h,good length,on off stump.
0.5,0,M Henry,T Iqbal,135.1 km/h,good length,on leg stump.
0.4,0,M Henry,T Iqbal,134.8 km/h,short length,outside off stump.
0.3,4,M Henry,T Iqbal,135.4 km/h,good length,going down leg.
0.2,0,M Henry,T Iqbal,137.5 km/h,good length,just outside off stump.
0.1,0,M Henry,T Iqbal,131.2 km/h,short length,just outside off stump.
49.6,4,N Coulter-Nile,A Nurse,132.1 km/h,full length,just outside off stump.
49.5,4,N Coulter-Nile,A Nurse,110.0 km/h,short length,going down leg.
49.4,4,N Coulter-Nile,A Nurse,130.0 km/h,full length,outside off stump.
49.3,4,N Coulter-Nile,A Nurse,104.1 km/h,short length,going down leg.
49.2,0,N Coulter-Nile,A Nurse,108.4 km/h,short length,going down leg.
49.1,0,N Coulter-Nile,A Nurse,132.8 km/h,full toss,just outside off stump.
48.6,0,M Stoinis,O Thomas,125.9 km/h,good length,on off stump.
48.5,1,M Stoinis,A Nurse,135.0 km/h,short length,just outside off stump.
48.4,0,M Stoinis,A Nurse,133.0 km/h,full length,on middle stump.
48.3,0,M Stoinis,A Nurse,133.3 km/h,full length,on middle stump.
48.2,0,M Stoinis,A Nurse,125.6 km/h,full length,just outside off stump.
48.1,0,M Stoinis,A Nurse,130.4 km/h,short length,just outside off stump.
47.6,0,M Starc,O Thomas,147.1 km/h,full toss,on leg stump.
47.5,0,M Starc,O Thomas,147.2 km/h,full length,on off stump.
47.4,0,M Starc,O Thomas,149.8 km/h,full length,going down leg.
47.3,W,M Starc,S Cotterrell,143.1 km/h,full length,on leg stump.
47.2,1Lb,M Starc,A Nurse,,,
47.1,0,M Starc,A Nurse,143.8 km/h,full toss,outside off stump.
46.6,1,M Stoinis,A Nurse,129.4 km/h,full length,going down leg.
46.5,1,M Stoinis,S Cotterrell,130.8 km/h,full length,just outside off stump.
46.4,1,M Stoinis,A Nurse,130.8 km/h,full toss,on middle stump.
46.3,0,M Stoinis,A Nurse,130.0 km/h,full length,going down leg.
46.2,0,M Stoinis,A Nurse,132.8 km/h,short length,going down leg.
46.1,0,M Stoinis,A Nurse,141.5 km/h,full toss,just outside off stump.
45.6,W,M Starc,J Holder,135.2 km/h,short length,going down leg.
45.5,0,M Starc,J Holder,139.3 km/h,full toss,outside off stump.
45.4,0,M Starc,J Holder,135.8 km/h,full toss,just outside off stump.
45.3,W,M Starc,C Brathwaite,124.3 km/h,full toss,just outside off stump.
45.2,0,M Starc,C Brathwaite,142.7 km/h,good length,just outside off stump.
45.1,1,M Starc,J Holder,138.7 km/h,good length,on off stump.
44.6,1Lb,P Cummins,J Holder,,,
44.5,0,P Cummins,J Holder,132.8 km/h,short length,on middle stump.
44.4,0,P Cummins,J Holder,142.5 km/h,good length,on off stump.
44.3,1,P Cummins,C Brathwaite,118.5 km/h,good length,on leg stump.
44.2,2,P Cummins,C Brathwaite,131.0 km/h,short length,on middle stump.
44.1,4,P Cummins,C Brathwaite,134.4 km/h,short length,just outside off stump.
43.6,1,N Coulter-Nile,C Brathwaite,130.2 km/h,short length,just outside off stump.
43.5,6,N Coulter-Nile,C Brathwaite,129.4 km/h,short length,just outside off stump.
43.4,1,N Coulter-Nile,J Holder,133.8 km/h,short length,on off stump.
43.3,0,N Coulter-Nile,J Holder,114.3 km/h,short length,on off stump.
43.2,2,N Coulter-Nile,J Holder,129.2 km/h,good length,on off stump.
43.1,0,N Coulter-Nile,J Holder,114.8 km/h,short length,just outside off stump.
42.6,0,P Cummins,C Brathwaite,133.9 km/h,short length,on middle stump.
42.5,0,P Cummins,C Brathwaite,141.2 km/h,full length,on off stump.
42.4,0,P Cummins,C Brathwaite,132.6 km/h,good length,outside off stump.
42.3,0,P Cummins,C Brathwaite,133.1 km/h,short length,on off stump.
42.2,1,P Cummins,J Holder,118.1 km/h,short length,going down leg.
42.1,0,P Cummins,J Holder,132.0 km/h,good length,outside off stump.
41.6,0,N Coulter-Nile,C Brathwaite,134.5 km/h,good length,just outside off stump.
41.5,0,N Coulter-Nile,C Brathwaite,129.6 km/h,short length,on middle stump.
41.4,1,N Coulter-Nile,J Holder,135.9 km/h,good length,just outside off stump.
41.3,1,N Coulter-Nile,C Brathwaite,133.4 km/h,good length,on off stump.
41.2,0,N Coulter-Nile,C Brathwaite,128.9 km/h,good length,just outside off stump.
41.1,0,N Coulter-Nile,C Brathwaite,141.4 km/h,good length,on middle stump.
40.6,0,A Zampa,J Holder,88.0 km/h,good length,just outside off stump.
40.5,4,A Zampa,J Holder,91.9 km/h,good length,just outside off stump.
40.4,0,A Zampa,J Holder,92.4 km/h,good length,just outside off stump.
40.3,0,A Zampa,J Holder,,,
40.2,4,A Zampa,J Holder,84.6 km/h,full length,just outside off stump.
40.1,1,A Zampa,C Brathwaite,85.9 km/h,short length,going down leg.
39.6,0,N Coulter-Nile,J Holder,135.8 km/h,good length,outside off stump.
39.5,4,N Coulter-Nile,J Holder,131.2 km/h,short length,on off stump.
39.4,0,N Coulter-Nile,J Holder,128.3 km/h,short length,on off stump.
39.3,0,N Coulter-Nile,J Holder,136.6 km/h,full length,on off stump.
39.2,0,N Coulter-Nile,J Holder,131.4 km/h,short length,on middle stump.
39.1,0,N Coulter-Nile,J Holder,127.1 km/h,good length,outside off stump.
38.6,1,M Starc,J Holder,142.1 km/h,short length,on leg stump.
38.5,W,M Starc,A Russell,143.0 km/h,full length,going down leg.
38.4,4,M Starc,A Russell,,,
38.3,2Lb,M Starc,A Russell,,,
38.2,0,M Starc,A Russell,136.1 km/h,short length,going down leg.
38.1,0,M Starc,A Russell,142.8 km/h,full length,just outside off stump.
37.6,1,A Zampa,A Russell,91.6 km/h,full length,going down leg.
37.5,0,A Zampa,A Russell,92.6 km/h,full toss,going down leg.
37.4,4,A Zampa,A Russell,92.5 km/h,good length,on middle stump.
37.3,0,A Zampa,A Russell,99.8 km/h,short length,on off stump.
37.2,6,A Zampa,A Russell,89.9 km/h,good length,just outside off stump.
37.1,1,A Zampa,J Holder,90.6 km/h,good length,outside off stump.
36.6,1,M Starc,J Holder,150.2 km/h,full length,on off stump.
36.5,0,M Starc,J Holder,131.3 km/h,short length,going down leg.
36.4,6,M Starc,J Holder,128.9 km/h,short length,on middle stump.
36.3,0,M Starc,J Holder,143.3 km/h,full length,outside off stump.
36.2,0,M Starc,J Holder,132.4 km/h,short length,just outside off stump.
36.1,0,M Starc,J Holder,134.2 km/h,good length,on off stump.
35.6,0,A Zampa,A Russell,99.2 km/h,short length,on middle stump.
35.5,1,A Zampa,J Holder,92.0 km/h,short length,on middle stump.
35.4,0,A Zampa,J Holder,87.2 km/h,full length,just outside off stump.
35.3,0,A Zampa,J Holder,90.2 km/h,good length,going down leg.
35.2,0,A Zampa,J Holder,86.7 km/h,good length,just outside off stump.
35.1,0,A Zampa,J Holder,83.0 km/h,good length,on middle stump.
34.6,W,P Cummins,S Hope,137.1 km/h,full length,on leg stump.
34.5,0,P Cummins,S Hope,134.4 km/h,full length,just outside off stump.
34.4,0,P Cummins,S Hope,130.4 km/h,short length,just outside off stump.
34.3,1,P Cummins,J Holder,136.1 km/h,short length,going down leg.
34.2,1,P Cummins,S Hope,134.1 km/h,good length,just outside off stump.
34.1,0,P Cummins,S Hope,142.0 km/h,good length,just outside off stump.
33.6,0,G Maxwell,J Holder,88.1 km/h,good length,on middle stump.
33.5,1,G Maxwell,S Hope,84.9 km/h,good length,outside off stump.
33.4,0,G Maxwell,S Hope,88.5 km/h,short length,just outside off stump.
33.3,1,G Maxwell,J Holder,87.7 km/h,full length,on middle stump.
33.2,4,G Maxwell,J Holder,86.2 km/h,good length,outside off stump.
33.1,4,G Maxwell,J Holder,92.8 km/h,good length,outside off stump.
32.6,0,P Cummins,S Hope,128.7 km/h,short length,on middle stump.
32.5,4,P Cummins,S Hope,132.8 km/h,short length,on leg stump.
32.4,0,P Cummins,S Hope,142.2 km/h,good length,on middle stump.
32.3,0,P Cummins,S Hope,141.5 km/h,good length,just outside off stump.
32.2,1,P Cummins,J Holder,137.0 km/h,short length,on middle stump.
32.1,0,P Cummins,J Holder,139.5 km/h,full length,just outside off stump.
31.6,2,G Maxwell,S Hope,90.2 km/h,good length,going down leg.
31.5,2,G Maxwell,S Hope,90.9 km/h,short length,just outside off stump.
31.4,0,G Maxwell,S Hope,83.0 km/h,full toss,on leg stump.
31.3,0,G Maxwell,S Hope,85.9 km/h,good length,just outside off stump.
31.2,0,G Maxwell,S Hope,85.4 km/h,good length,on off stump.
31.1,2,G Maxwell,S Hope,94.9 km/h,good length,outside off stump.
30.6,1,P Cummins,S Hope,133.8 km/h,short length,just outside off stump.
30.5,0,P Cummins,S Hope,124.9 km/h,short length,just outside off stump.
30.4,0,P Cummins,S Hope,134.4 km/h,short length,just outside off stump.
30.3,1,P Cummins,J Holder,131.3 km/h,short length,going down leg.
30.2,4,P Cummins,J Holder,136.6 km/h,short length,on off stump.
30.1,1,P Cummins,S Hope,131.4 km/h,good length,just outside off stump.
29.6,0,G Maxwell,J Holder,90.7 km/h,full length,on middle stump.
29.5,0,G Maxwell,J Holder,88.3 km/h,good length,on middle stump.
29.4,0,G Maxwell,J Holder,88.0 km/h,good length,on off stump.
29.3,0,G Maxwell,J Holder,88.5 km/h,good length,on middle stump.
29.2,0,G Maxwell,J Holder,92.9 km/h,short length,just outside off stump.
29.1,0,G Maxwell,J Holder,89.7 km/h,short length,on middle stump.
28.6,1,A Zampa,J Holder,87.2 km/h,full toss,on middle stump.
28.5,1,A Zampa,S Hope,90.7 km/h,full length,on leg stump.
28.4,2,A Zampa,S Hope,86.4 km/h,good length,on middle stump.
28.3,0,A Zampa,S Hope,83.8 km/h,good length,just outside off stump.
28.2,1,A Zampa,J Holder,86.8 km/h,full length,on off stump.
28.1,4,A Zampa,J Holder,85.9 km/h,good length,outside off stump.
27.6,0,G Maxwell,S Hope,95.7 km/h,good length,on middle stump.
27.5,1,G Maxwell,J Holder,87.7 km/h,good length,just outside off stump.
27.4,1,G Maxwell,S Hope,88.7 km/h,good length,just outside off stump.
27.3,0,G Maxwell,S Hope,85.3 km/h,full length,on leg stump.
27.2,W,G Maxwell,S Hope,86.7 km/h,good length,just outside off stump.
27.1,0,G Maxwell,S Hope,85.9 km/h,good length,going down leg.
26.7,0,N Coulter-Nile,S Hope,,,
26.6,1,N Coulter-Nile,S Hope,133.1 km/h,short length,just outside off stump.
26.5,2,N Coulter-Nile,S Hope,137.8 km/h,short length,just outside off stump.
26.4,0,N Coulter-Nile,S Hope,130.7 km/h,short length,outside off stump.
26.3,4,N Coulter-Nile,S Hope,132.0 km/h,full length,outside off stump.
26.2,4,N Coulter-Nile,S Hope,133.5 km/h,short length,going down leg.
26.1,0,N Coulter-Nile,S Hope,134.9 km/h,short length,just outside off stump.
25.6,4,A Zampa,S Hetmyer,83.9 km/h,full length,on off stump.
25.5,0,A Zampa,S Hetmyer,87.0 km/h,good length,outside off stump.
25.4,0,A Zampa,S Hetmyer,81.0 km/h,full length,on middle stump.
25.3,0,A Zampa,S Hetmyer,83.4 km/h,good length,outside off stump.
25.2,1,A Zampa,S Hope,94.1 km/h,full length,outside off stump.
25.1,0,A Zampa,S Hope,87.0 km/h,full length,on off stump.
24.6,0,N Coulter-Nile,S Hetmyer,133.0 km/h,good length,just outside off stump.
24.5,4,N Coulter-Nile,S Hetmyer,133.7 km/h,short length,going down leg.
24.4,0,N Coulter-Nile,S Hetmyer,133.0 km/h,short length,on middle stump.
24.3,1,N Coulter-Nile,S Hope,134.1 km/h,short length,on middle stump.
24.2,1,N Coulter-Nile,S Hetmyer,137.1 km/h,short length,on middle stump.
24.1,1,N Coulter-Nile,S Hope,132.2 km/h,short length,outside off stump.
23.6,1,A Zampa,S Hope,88.2 km/h,short length,on off stump.
23.5,4,A Zampa,S Hope,94.5 km/h,short length,on off stump.
23.4,0,A Zampa,S Hope,92.1 km/h,good length,on middle stump.
23.3,0,A Zampa,S Hope,80.9 km/h,good length,outside off stump.
23.2,4,A Zampa,S Hope,90.0 km/h,full toss,just outside off stump.
23.1,1,A Zampa,S Hetmyer,93.3 km/h,good length,just outside off stump.
22.6,1,M Starc,S Hetmyer,146.3 km/h,full toss,on middle stump.
22.5,0,M Starc,S Hetmyer,140.2 km/h,short length,outside off stump.
22.4,0,M Starc,S Hetmyer,141.6 km/h,full length,just outside off stump.
22.3,4,M Starc,S Hetmyer,142.1 km/h,short length,just outside off stump.
22.2,0,M Starc,S Hetmyer,138.0 km/h,good length,outside off stump.
22.1,0,M Starc,S Hetmyer,139.8 km/h,good length,on leg stump.
21.6,1,A Zampa,S Hetmyer,85.3 km/h,good length,on off stump.
21.5,0,A Zampa,S Hetmyer,89.8 km/h,good length,on middle stump.
21.4,2,A Zampa,S Hetmyer,89.6 km/h,full toss,outside off stump.
21.3,0,A Zampa,S Hetmyer,83.6 km/h,good length,just outside off stump.
21.2,0,A Zampa,S Hetmyer,85.0 km/h,good length,outside off stump.
21.1,0,A Zampa,S Hetmyer,80.7 km/h,good length,just outside off stump.
20.6,0,M Starc,S Hope,137.1 km/h,short length,just outside off stump.
20.5,0,M Starc,S Hope,146.2 km/h,good length,on middle stump.
20.5,1Wd,M Starc,S Hope,,,
20.4,1,M Starc,S Hetmyer,133.7 km/h,short length,on middle stump.
20.3,0,M Starc,S Hetmyer,136.9 km/h,short length,on off stump.
20.2,4Lb,M Starc,S Hetmyer,,,
20.1,0,M Starc,S Hetmyer,140.7 km/h,full toss,on off stump.
19.6,1,A Zampa,S Hetmyer,84.3 km/h,full length,just outside off stump.
19.5,0,A Zampa,S Hetmyer,83.3 km/h,good length,outside off stump.
19.4,1,A Zampa,S Hope,92.3 km/h,short length,on leg stump.
19.3,0,A Zampa,S Hope,84.2 km/h,good length,going down leg.
19.2,1,A Zampa,S Hetmyer,86.4 km/h,good length,on middle stump.
19.1,W,A Zampa,N Pooran,89.0 km/h,good length,just outside off stump.
18.6,4,M Stoinis,S Hope,128.6 km/h,short length,on leg stump.
18.5,1,M Stoinis,N Pooran,131.8 km/h,short length,on leg stump.
18.4,0,M Stoinis,N Pooran,131.3 km/h,short length,on leg stump.
18.3,1,M Stoinis,S Hope,132.4 km/h,short length,on leg stump.
18.2,0,M Stoinis,S Hope,,,
18.1,0,M Stoinis,S Hope,129.9 km/h,full length,on off stump.
17.6,1,A Zampa,S Hope,89.7 km/h,full toss,on leg stump.
17.5,4,A Zampa,S Hope,88.7 km/h,short length,on middle stump.
17.4,0,A Zampa,S Hope,89.8 km/h,good length,on middle stump.
17.3,0,A Zampa,S Hope,92.5 km/h,full toss,going down leg.
17.2,0,A Zampa,S Hope,85.9 km/h,full length,outside off stump.
17.1,0,A Zampa,S Hope,87.6 km/h,good length,on middle stump.
16.6,0,M Stoinis,N Pooran,132.8 km/h,short length,on leg stump.
16.5,1,M Stoinis,S Hope,129.1 km/h,short length,just outside off stump.
16.4,1,M Stoinis,N Pooran,131.1 km/h,good length,just outside off stump.
16.3,0,M Stoinis,N Pooran,130.3 km/h,good length,on off stump.
16.2,6,M Stoinis,N Pooran,133.2 km/h,short length,on middle stump.
16.1,0,M Stoinis,N Pooran,127.8 km/h,good length,on middle stump.
15.6,0,A Zampa,S Hope,89.5 km/h,full length,on leg stump.
15.5,0,A Zampa,S Hope,83.5 km/h,good length,just outside off stump.
15.4,1,A Zampa,N Pooran,88.2 km/h,full length,outside off stump.
15.3,0,A Zampa,N Pooran,86.9 km/h,full length,just outside off stump.
15.2,0,A Zampa,N Pooran,88.3 km/h,full toss,outside off stump.
15.1,1Lb,A Zampa,S Hope,,,
14.6,1,N Coulter-Nile,S Hope,134.4 km/h,short length,on middle stump.
14.5,1,N Coulter-Nile,N Pooran,131.9 km/h,good length,just outside off stump.
14.4,0,N Coulter-Nile,N Pooran,133.1 km/h,good length,outside off stump.
14.3,0,N Coulter-Nile,N Pooran,134.8 km/h,good length,going down leg.
14.2,0,N Coulter-Nile,N Pooran,121.1 km/h,full length,just outside off stump.
14.1,1,N Coulter-Nile,S Hope,134.0 km/h,good length,just outside off stump.
13.6,1,G Maxwell,S Hope,97.8 km/h,short length,on leg stump.
13.5,1,G Maxwell,N Pooran,89.2 km/h,good length,just outside off stump.
13.4,0,G Maxwell,N Pooran,91.6 km/h,good length,on off stump.
13.3,1,G Maxwell,S Hope,99.2 km/h,short length,on middle stump.
13.2,0,G Maxwell,S Hope,91.1 km/h,good length,on middle stump.
13.1,0,G Maxwell,S Hope,89.1 km/h,good length,going down leg.
12.6,1,N Coulter-Nile,S Hope,133.6 km/h,short length,on off stump.
12.5,0,N Coulter-Nile,S Hope,134.2 km/h,short length,just outside off stump.
