Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
25.5,W,M Ali,JP Duminy,86.7 km/h,good length,just outside off stump.
25.4,0,M Ali,JP Duminy,86.9 km/h,good length,on off stump.
25.3,4,M Ali,JP Duminy,86.3 km/h,good length,on off stump.
25.2,1,M Ali,R van der Dussen,89.3 km/h,good length,on middle stump.
25.1,0,M Ali,R van der Dussen,87.9 km/h,good length,outside off stump.
24.6,0,L Plunkett,JP Duminy,134.1 km/h,good length,on off stump.
24.5,0,L Plunkett,JP Duminy,127.5 km/h,full length,on middle stump.
24.4,1,L Plunkett,R van der Dussen,133.8 km/h,short length,outside off stump.
24.3,1,L Plunkett,JP Duminy,138.2 km/h,short length,on middle stump.
24.2,0,L Plunkett,JP Duminy,135.8 km/h,good length,on off stump.
24.1,0,L Plunkett,JP Duminy,134.4 km/h,short length,outside off stump.
23.6,1,M Ali,JP Duminy,88.0 km/h,good length,on middle stump.
23.5,1,M Ali,R van der Dussen,85.4 km/h,good length,outside off stump.
23.4,1,M Ali,JP Duminy,88.3 km/h,good length,on off stump.
23.3,1,M Ali,R van der Dussen,84.8 km/h,good length,just outside off stump.
23.2,1,M Ali,JP Duminy,87.6 km/h,good length,on middle stump.
23.1,1,M Ali,R van der Dussen,88.1 km/h,good length,just outside off stump.
22.6,W,L Plunkett,Q de Kock,129.0 km/h,short length,going down leg.
22.5,1,L Plunkett,R van der Dussen,136.0 km/h,good length,outside off stump.
22.4,0,L Plunkett,R van der Dussen,131.7 km/h,good length,just outside off stump.
22.3,0,L Plunkett,R van der Dussen,135.1 km/h,short length,on middle stump.
22.2,2,L Plunkett,R van der Dussen,135.5 km/h,good length,outside off stump.
22.1,1,L Plunkett,Q de Kock,134.0 km/h,short length,going down leg.
21.6,0,M Ali,R van der Dussen,86.4 km/h,good length,on off stump.
21.5,4,M Ali,R van der Dussen,84.5 km/h,good length,just outside off stump.
21.4,1,M Ali,Q de Kock,88.1 km/h,good length,on off stump.
21.3,1,M Ali,R van der Dussen,85.6 km/h,short length,on middle stump.
21.2,4,M Ali,R van der Dussen,86.2 km/h,good length,just outside off stump.
21.1,6,M Ali,R van der Dussen,87.2 km/h,good length,just outside off stump.
20.6,0,L Plunkett,Q de Kock,134.3 km/h,good length,just outside off stump.
20.5,6,L Plunkett,Q de Kock,120.9 km/h,good length,outside off stump.
20.4,0,L Plunkett,Q de Kock,135.6 km/h,full length,on leg stump.
20.3,1,L Plunkett,R van der Dussen,132.4 km/h,short length,outside off stump.
20.2,1,L Plunkett,Q de Kock,137.0 km/h,good length,on middle stump.
20.1,4,L Plunkett,Q de Kock,132.8 km/h,short length,going down leg.
19.6,0,M Ali,R van der Dussen,88.1 km/h,good length,on middle stump.
19.5,1,M Ali,Q de Kock,87.7 km/h,full length,going down leg.
19.4,0,M Ali,Q de Kock,89.6 km/h,good length,just outside off stump.
19.3,0,M Ali,Q de Kock,87.2 km/h,good length,on off stump.
19.2,0,M Ali,Q de Kock,84.5 km/h,good length,just outside off stump.
19.1,1,M Ali,R van der Dussen,88.4 km/h,full length,outside off stump.
18.6,1,L Plunkett,R van der Dussen,133.4 km/h,short length,outside off stump.
18.5,1,L Plunkett,Q de Kock,131.7 km/h,short length,going down leg.
18.4,0,L Plunkett,Q de Kock,131.9 km/h,short length,on middle stump.
18.3,1,L Plunkett,R van der Dussen,134.8 km/h,short length,outside off stump.
18.2,1,L Plunkett,Q de Kock,135.0 km/h,good length,going down leg.
18.1,2,L Plunkett,Q de Kock,133.2 km/h,short length,going down leg.
17.6,0,M Ali,R van der Dussen,83.5 km/h,good length,just outside off stump.
17.5,2,M Ali,R van der Dussen,85.9 km/h,good length,on off stump.
17.4,1,M Ali,Q de Kock,89.6 km/h,good length,on off stump.
17.3,0,M Ali,Q de Kock,85.5 km/h,good length,on off stump.
17.2,0,M Ali,Q de Kock,88.1 km/h,short length,just outside off stump.
17.1,0,M Ali,Q de Kock,89.0 km/h,good length,on off stump.
16.6,1,A Rashid,Q de Kock,77.7 km/h,short length,going down leg.
16.5,0,A Rashid,Q de Kock,79.9 km/h,good length,going down leg.
16.4,1,A Rashid,R van der Dussen,81.8 km/h,good length,just outside off stump.
16.3,1,A Rashid,Q de Kock,83.8 km/h,good length,just outside off stump.
16.2,0,A Rashid,Q de Kock,81.7 km/h,short length,just outside off stump.
16.1,4,A Rashid,Q de Kock,86.7 km/h,good length,going down leg.
15.6,0,M Ali,R van der Dussen,89.2 km/h,good length,just outside off stump.
15.5,0,M Ali,R van der Dussen,88.3 km/h,good length,on off stump.
15.4,0,M Ali,R van der Dussen,87.9 km/h,good length,on off stump.
15.3,0,M Ali,R van der Dussen,89.8 km/h,good length,going down leg.
15.2,4,M Ali,R van der Dussen,88.2 km/h,short length,on off stump.
15.1,1,M Ali,Q de Kock,88.8 km/h,good length,on middle stump.
14.6,0,A Rashid,R van der Dussen,83.3 km/h,full length,on middle stump.
14.5,0,A Rashid,R van der Dussen,77.7 km/h,good length,just outside off stump.
14.4,0,A Rashid,R van der Dussen,81.6 km/h,good length,just outside off stump.
14.3,0,A Rashid,R van der Dussen,81.3 km/h,good length,outside off stump.
14.2,1,A Rashid,Q de Kock,82.9 km/h,good length,on leg stump.
14.1,2,A Rashid,Q de Kock,,,
13.6,4B,M Ali,R van der Dussen,,,
13.5,0,M Ali,R van der Dussen,89.7 km/h,good length,on middle stump.
13.4,0,M Ali,R van der Dussen,88.4 km/h,good length,just outside off stump.
13.3,1,M Ali,Q de Kock,86.1 km/h,short length,on off stump.
13.2,0,M Ali,Q de Kock,85.6 km/h,good length,just outside off stump.
13.1,0,M Ali,Q de Kock,89.3 km/h,good length,outside off stump.
12.6,1,A Rashid,Q de Kock,83.4 km/h,good length,going down leg.
12.5,1Lb,A Rashid,R van der Dussen,,,
12.4,0,A Rashid,R van der Dussen,81.3 km/h,good length,just outside off stump.
12.3,1,A Rashid,Q de Kock,83.3 km/h,short length,on leg stump.
12.2,0,A Rashid,Q de Kock,78.5 km/h,good length,on leg stump.
12.1,1,A Rashid,R van der Dussen,77.9 km/h,good length,outside off stump.
11.6,6,M Ali,Q de Kock,87.5 km/h,good length,on leg stump.
11.5,1,M Ali,R van der Dussen,89.1 km/h,good length,just outside off stump.
11.4,1,M Ali,Q de Kock,86.6 km/h,short length,on middle stump.
11.3,1,M Ali,R van der Dussen,89.4 km/h,short length,just outside off stump.
11.2,0,M Ali,R van der Dussen,89.8 km/h,short length,going down leg.
11.1,2,M Ali,R van der Dussen,86.3 km/h,short length,going down leg.
10.6,0,A Rashid,Q de Kock,84.5 km/h,good length,going down leg.
10.5,4,A Rashid,Q de Kock,79.3 km/h,good length,just outside off stump.
10.4,0,A Rashid,Q de Kock,85.9 km/h,good length,outside off stump.
10.3,0,A Rashid,Q de Kock,78.8 km/h,good length,on leg stump.
10.2,2,A Rashid,Q de Kock,79.5 km/h,full length,going down leg.
10.1,1,A Rashid,R van der Dussen,87.0 km/h,short length,just outside off stump.
9.6,0,J Archer,Q de Kock,143.3 km/h,short length,just outside off stump.
9.5,0,J Archer,Q de Kock,144.7 km/h,short length,on off stump.
9.4,0,J Archer,Q de Kock,151.9 km/h,short length,on off stump.
9.3,W,J Archer,F du Plessis,149.2 km/h,short length,on off stump.
9.2,0,J Archer,F du Plessis,142.8 km/h,short length,just outside off stump.
