,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role
15552,1,11.5,2,4,False,False,False,0,0,0,0,1,69,3,1,2,14,93,2,1,2,50,1,13,4
15553,1,11.6,2,4,False,False,False,0,0,0,0,0,70,3,1,2,14,114,2,1,0,50,1,13,4
15554,1,12.1,2,4,False,False,False,0,0,0,0,1,70,3,4,2,14,93,2,1,2,202,0,6,0
15555,1,12.2,2,2,False,False,False,0,0,0,0,0,71,3,12,2,14,114,2,1,0,202,0,6,0
15556,1,12.3,4,4,False,False,False,0,0,0,0,1,71,3,1,2,14,114,2,1,0,202,0,6,0
15557,1,12.4,2,4,False,False,False,0,0,0,0,2,72,3,20,2,14,93,2,1,2,202,0,6,0
15558,1,12.5,1,2,False,False,False,0,0,0,0,0,74,3,15,2,14,93,2,1,2,202,0,6,0
15559,1,12.6,2,4,False,False,False,0,0,0,0,2,74,3,1,2,14,93,2,1,2,202,0,6,0
15560,1,13.1,2,4,True,False,False,0,0,0,0,4,76,3,0,2,14,114,2,1,0,50,1,13,4
15561,1,13.2,4,2,False,False,False,0,0,0,0,2,80,3,16,2,14,114,2,1,0,50,1,13,4
15562,1,13.3,2,2,True,False,False,0,0,0,0,4,82,3,17,2,14,114,2,1,0,50,1,13,4
15563,1,13.4,2,0,False,False,False,0,0,0,0,2,86,3,0,2,14,114,2,1,0,50,1,13,4
15564,1,13.5,2,2,False,False,False,0,0,1,0,1,88,3,0,2,14,114,2,1,0,50,1,13,4
15565,1,13.5,2,2,True,False,False,0,0,0,0,4,89,3,18,2,14,114,2,1,0,50,1,13,4
15566,1,13.6,2,1,False,False,False,0,0,0,0,1,93,3,0,2,14,114,2,1,0,50,1,13,4
15567,1,14.1,2,4,True,False,False,0,0,0,0,4,94,3,0,2,14,114,2,1,0,202,0,6,0
15568,1,14.2,1,4,False,False,False,0,0,0,0,1,98,3,8,2,14,114,2,1,0,202,0,6,0
15569,1,14.3,1,2,False,False,True,0,0,0,0,0,99,3,16,2,14,93,2,1,2,202,0,6,0
15570,1,14.4,1,2,False,False,False,0,0,0,0,1,99,4,21,2,14,147,2,0,2,202,0,6,0
15571,1,14.5,2,2,False,False,False,0,0,0,0,0,100,4,0,2,14,114,2,1,0,202,0,6,0
15572,1,14.6,1,4,False,False,False,0,0,0,0,2,100,4,4,2,14,114,2,1,0,202,0,6,0
15573,1,15.1,1,4,False,False,False,0,0,0,0,1,102,4,19,2,14,147,2,0,2,54,1,8,3
15574,1,15.2,2,2,False,False,False,0,0,0,0,1,103,4,0,2,14,114,2,1,0,54,1,8,3
15575,1,15.3,1,4,False,False,False,0,0,0,0,1,104,4,16,2,14,147,2,0,2,54,1,8,3
15576,1,15.4,2,0,False,True,False,0,0,0,0,6,105,4,16,2,14,114,2,1,0,54,1,8,3
15577,1,15.5,2,0,False,False,False,0,0,0,0,1,111,4,18,2,14,114,2,1,0,54,1,8,3
15578,1,15.6,0,3,False,False,False,0,0,0,0,1,112,4,11,2,14,147,2,0,2,54,1,8,3
15579,1,16.1,4,2,False,False,False,0,0,1,0,1,113,4,18,2,14,147,2,0,2,148,1,15,3
15580,1,16.1,2,2,False,False,False,0,0,0,0,0,114,4,15,2,14,147,2,0,2,148,1,15,3
15581,1,16.2,1,1,False,False,False,0,0,0,0,1,114,4,8,2,14,147,2,0,2,148,1,15,3
15582,1,16.3,2,4,False,True,False,0,0,0,0,6,115,4,8,2,14,114,2,1,0,148,1,15,3
15583,1,16.4,1,4,False,True,False,0,0,0,0,6,121,4,16,2,14,114,2,1,0,148,1,15,3
15584,1,16.5,2,4,False,False,False,0,0,0,0,1,127,4,12,2,14,114,2,1,0,148,1,15,3
15585,1,16.6,1,4,False,False,False,0,1,0,0,1,128,4,4,2,14,147,2,0,2,148,1,15,3
15586,1,17.1,1,4,False,False,True,0,0,0,0,0,129,4,0,2,14,147,2,0,2,53,1,13,3
15587,1,17.2,3,4,False,False,False,0,0,1,0,1,129,5,7,2,14,216,2,0,4,53,1,13,3
15588,1,17.2,1,2,False,False,False,0,0,0,0,1,130,5,12,2,14,216,2,0,4,53,1,13,3
15589,1,17.3,2,2,False,False,False,0,0,0,0,0,131,5,16,2,14,114,2,1,0,53,1,13,3
15590,1,17.4,0,1,True,False,False,0,0,0,1,5,131,5,4,2,14,114,2,1,0,53,1,13,3
15591,1,17.4,2,0,False,False,False,0,0,0,1,3,136,5,19,2,14,114,2,1,0,53,1,13,3
15592,1,17.4,2,4,False,False,False,0,0,0,0,0,139,5,1,2,14,114,2,1,0,53,1,13,3
15593,1,17.5,2,4,False,False,False,0,0,0,0,0,139,5,1,2,14,114,2,1,0,53,1,13,3
15594,1,17.6,2,2,False,False,False,0,0,0,0,1,139,5,0,2,14,114,2,1,0,53,1,13,3
15595,1,18.1,1,4,True,False,False,0,0,0,0,4,140,5,16,2,14,114,2,1,0,148,1,15,3
15596,1,18.2,2,4,False,False,False,0,0,0,0,1,144,5,0,2,14,114,2,1,0,148,1,15,3
15597,1,18.3,2,2,False,False,False,0,0,0,0,2,145,5,0,2,14,216,2,0,4,148,1,15,3
15598,1,18.4,1,1,False,False,False,0,0,0,0,1,147,5,16,2,14,216,2,0,4,148,1,15,3
15599,1,18.5,1,3,True,False,False,0,0,0,0,4,148,5,11,2,14,114,2,1,0,148,1,15,3
15600,1,18.6,1,4,False,False,False,0,0,0,0,1,152,5,11,2,14,114,2,1,0,148,1,15,3
15601,1,1.1,2,4,False,False,False,0,0,0,0,0,3,1,1,2,14,179,2,1,7,53,1,13,3
15602,1,1.2,2,2,False,False,False,0,0,0,0,0,3,1,6,2,14,179,2,1,7,53,1,13,3
15603,1,1.3,2,4,False,False,False,0,0,0,0,1,3,1,19,2,14,179,2,1,7,53,1,13,3
15604,1,1.4,0,4,False,False,False,0,1,0,0,1,4,1,4,2,14,97,2,0,9,53,1,13,3
15605,1,1.5,2,2,False,False,False,0,0,0,0,0,5,1,3,2,14,179,2,1,7,53,1,13,3
15606,1,1.6,2,4,False,False,False,0,0,0,0,1,5,1,19,2,14,179,2,1,7,53,1,13,3
15607,1,2.1,1,2,False,False,False,0,0,0,0,1,6,1,12,2,14,179,2,1,7,73,1,15,0
